60972,46551
61075,46380
60817,46350
60597,46399
61383,46454
60707,46058
61258,46064
61360,46709
61434,46270
60734,45976
61267,46010
60461,46738
61555,46519
61432,46817
61530,46159
60369,52563
60249,52238
60221,52022
60235,52007
60396,52805
60201,52003
60730,52083
60703,52037
60854,52169
59922,52786
61033,52468
60576,51753
59703,52501
60308,51685
60443,53128
58665,59932
58590,59525
59111,59739
58329,60180
58154,59780
59118,60039
59165,59687
58889,60334
59087,60200
59269,59992
59079,59352
58154,60283
59138,60401
59387,60014
58771,60580
56922,35768
56730,35577
56678,35623
56636,35529
56541,35719
56618,35436
56429,35600
56805,36159
56968,36170
56406,35362
56441,35275
57312,35967
56810,36292
56809,36297
56813,35086
54449,42872
54524,42904
54307,42992
54691,42918
54308,42602
54352,42520
54272,43145
54353,42453
54393,42416
54417,42391
54556,42397
54916,42689
54925,42624
54876,42500
53992,42499
51683,49283
51815,49375
51586,49170
51460,49224
51759,49073
51243,49471
51610,48965
51308,49630
52094,49427
51235,49140
51421,49806
52105,49253
52103,49204
51674,48858
51985,49754
44691,46276
44772,46447
44577,46345
44704,46111
44478,46315
44520,46484
44460,46396
45015,46110
44977,46050
44492,45977
44762,46708
45206,46504
44401,45918
45234,46110
45309,46374
37904,44387
38094,44260
38267,44239
38396,44576
37701,44638
38104,44902
37969,44116
37760,44128
38421,44847
37937,43875
37439,44820
38478,45047
37755,43877
37556,45014
38077,43794
36486,58780
36229,58559
36219,58974
36423,59073
36575,58483
36333,58448
36645,58435
36398,59165
36696,59198
36960,58594
37060,58762
36454,59424
35988,58251
36861,59309
36529,58009
36406,50463
35994,50817
36117,50939
36510,50444
36240,50203
36001,50147
36510,50240
36656,50566
36099,51107
36522,50164
35866,51091
35640,50947
35873,50003
36818,50538
36400,49928
36039,37098
35673,37211
35609,37194
35811,37422
35967,36673
36209,37346
36100,37456
35636,37443
36359,37310
35436,37366
36455,37227
36509,37087
35531,36570
35403,36688
35600,37619
30888,45683
30635,45556
30997,45889
30806,45234
31154,45908
31375,45645
31032,45152
31119,46055
31067,45079
30371,45565
31170,46097
31370,45222
31542,45614
30534,46102
30257,45725
30746,61100
30877,60859
30515,60969
30927,61258
30571,60758
30720,60651
30908,61364
30898,60616
30647,61432
30330,61187
30304,61141
30619,60514
31233,61286
30612,61541
31312,60742
26774,57001
26692,57000
26896,57284
26962,56689
26591,56646
26542,57297
26891,56558
26345,56949
26481,56658
27108,57491
26174,57058
27188,56510
26275,56590
27306,57368
27070,57594
23288,45258
23272,45633
23658,45171
23144,45494
23378,45780
23376,45082
23746,45135
23906,45475
23554,45863
23688,45829
23441,45886
23038,45476
23016,45266
23433,45945
23594,45950
19797,61359
20007,61561
19930,60962
19803,60968
20147,61505
20257,61196
20211,60986
19964,60809
19601,60881
20181,60841
19837,60753
19779,61803
19545,60834
20252,61749
19335,61410
17108,54515
17075,54403
17395,54596
16898,54827
16738,54689
17431,54420
17314,54956
17141,54202
17650,54611
17304,54119
16905,55169
16798,54135
16546,54778
17547,55041
16507,54347
10616,60683
10726,60737
10336,60916
10334,60937
10256,60907
10930,60322
10156,60841
10434,61086
11134,60627
10102,60364
9954,60705
10457,61257
10936,61184
10031,61025
10390,61299
10444,50923
10321,50691
10579,50729
10653,51048
10633,50511
10680,51164
10013,50471
9895,50510
9744,50911
10834,51147
9927,51309
10757,51325
10839,50455
10704,51371
9763,50495
4785,54895
4715,54506
4761,54969
4557,54902
4405,54784
4567,55033
4946,55080
4750,55207
4731,54238
4260,54579
5026,55207
4235,54556
4877,55291
5359,54762
5389,54870
